City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Awbari,LY,88.86,scattered clouds,26.5921,12.7805,استراحة الشارب العائلي
9,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
12,Sibolga,ID,76.24,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
16,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Arraial Do Cabo,BR,80.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
18,Hambantota,LK,77.34,shower rain,6.1241,81.1185,Bungalow 63
19,Sikonge,TZ,81.07,few clouds,-5.6333,32.7667,Sikonge Ndawvukilo Lodge
22,Kapaa,US,76.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Butaritari,KI,80.6,light rain,3.0707,172.7902,Isles Sunset Lodge
28,Waddan,LY,85.24,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
29,Burgos,ES,75.61,clear sky,42.3394,-3.7079,Hotel Corona de Castilla (Sercotel)
30,Lorengau,PG,81.21,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
33,Cayenne,GF,89.64,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
39,Balikpapan,ID,79.79,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
42,Bontang,ID,78.91,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
48,Trairi,BR,87.37,few clouds,-3.2778,-39.2689,janelas do mar
50,Atuona,PF,75.74,light rain,-9.8,-139.0333,Villa Enata
60,Kikwit,CD,84.79,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
64,Labuhan,ID,78.69,light rain,-6.8844,112.2051,DoubleFAG
73,Patancheru,IN,76.06,overcast clouds,17.5314,78.265,Sri Ganapathi Lodge
74,Esna,EG,89.62,few clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
76,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
79,Caravelas,BR,81.61,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
