City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,28.42,69,40,19.57,scattered clouds
1,Qaanaaq,GL,77.484,-69.3632,21.49,95,99,6.78,light snow
2,Goundi,TD,9.3627,17.366,84.07,67,95,2.48,overcast clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,73.36,90,94,7.0,overcast clouds
4,Nanning,CN,22.8167,108.3167,64.85,41,95,4.5,overcast clouds
5,Bemidji,US,47.4736,-94.8803,36.05,100,100,0.0,overcast clouds
6,Awbari,LY,26.5921,12.7805,88.86,16,26,7.07,scattered clouds
7,Kropotkin,RU,45.4375,40.5756,57.04,44,82,7.92,broken clouds
8,Ushuaia,AR,-54.8,-68.3,49.66,62,75,12.66,broken clouds
9,Bathsheba,BB,13.2167,-59.5167,88.41,70,20,12.66,few clouds
10,Bredasdorp,ZA,-34.5322,20.0403,58.24,80,100,12.17,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,50.11,66,40,33.38,scattered clouds
12,Sibolga,ID,1.7427,98.7792,76.24,88,100,2.44,overcast clouds
13,Bethel,US,41.3712,-73.414,59.52,72,100,6.91,overcast clouds
14,Busselton,AU,-33.65,115.3333,49.82,92,21,6.78,few clouds
15,Liberal,US,37.0431,-100.921,69.04,34,0,18.41,clear sky
16,Vaini,TO,-21.2,-175.2,75.36,94,20,13.8,few clouds
17,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,69,0,24.16,clear sky
18,Hambantota,LK,6.1241,81.1185,77.34,100,75,8.05,shower rain
19,Sikonge,TZ,-5.6333,32.7667,81.07,17,12,4.38,few clouds
20,Nikolskoye,RU,59.7035,30.7861,49.91,87,100,8.05,overcast clouds
21,East London,ZA,-33.0153,27.9116,65.34,94,20,6.91,light intensity drizzle
22,Kapaa,US,22.0752,-159.319,76.98,92,100,4.61,overcast clouds
23,Butaritari,KI,3.0707,172.7902,80.6,79,100,12.53,light rain
24,Usinsk,RU,65.9939,57.5281,36.09,85,90,5.64,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,70.36,78,80,2.15,broken clouds
26,San Rafael,AR,-34.6177,-68.3301,63.82,12,0,6.4,clear sky
27,Zhigansk,RU,66.7697,123.3711,15.87,97,83,7.94,broken clouds
28,Waddan,LY,29.1614,16.139,85.24,35,93,15.9,overcast clouds
29,Burgos,ES,42.3394,-3.7079,75.61,33,0,10.36,clear sky
30,Lorengau,PG,-2.0226,147.2712,81.21,74,60,8.86,broken clouds
31,Port Alfred,ZA,-33.5906,26.891,64.18,95,100,1.01,light rain
32,San Jose,US,37.3394,-121.895,60.82,91,100,4.61,mist
33,Cayenne,GF,4.9333,-52.3333,89.64,62,20,12.66,few clouds
34,Ilulissat,GL,69.2167,-51.1,23.02,58,75,16.11,broken clouds
35,Mataura,NZ,-46.1927,168.8643,39.6,98,3,2.17,clear sky
36,Leningradskiy,RU,69.3833,178.4167,13.24,76,61,6.24,broken clouds
37,Necochea,AR,-38.5473,-58.7368,57.29,38,96,8.7,overcast clouds
38,Yellowknife,CA,62.456,-114.3525,36.12,75,100,21.85,overcast clouds
39,Balikpapan,ID,-1.2675,116.8289,79.79,89,40,0.0,scattered clouds
40,Dimona,IL,31.0667,35.0333,69.55,58,0,16.46,clear sky
41,Lebu,CL,-37.6167,-73.65,55.36,74,14,17.78,few clouds
42,Bontang,ID,0.1333,117.5,78.91,86,100,6.96,overcast clouds
43,Provideniya,RU,64.3833,-173.3,23.95,77,79,8.23,broken clouds
44,Bambous Virieux,MU,-20.3428,57.7575,72.21,73,40,11.5,light rain
45,Namibe,AO,-15.1961,12.1522,70.23,79,36,10.36,scattered clouds
46,Chicama,PE,-7.8447,-79.1469,59.54,57,7,8.79,clear sky
47,Albany,US,42.6001,-73.9662,58.64,80,22,6.26,few clouds
48,Trairi,BR,-3.2778,-39.2689,87.37,53,11,17.69,few clouds
49,Dunedin,NZ,-45.8742,170.5036,46.8,83,51,4.0,broken clouds
50,Atuona,PF,-9.8,-139.0333,75.74,82,13,17.34,light rain
51,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,61,20,6.91,few clouds
52,Rubiataba,BR,-15.1644,-49.8033,97.88,14,98,6.08,overcast clouds
53,Amuntai,ID,-2.4177,115.2494,74.71,96,72,0.67,broken clouds
54,Jamestown,US,42.097,-79.2353,54.01,52,20,9.22,few clouds
55,Pevek,RU,69.7008,170.3133,13.87,88,93,9.26,overcast clouds
56,Norman Wells,CA,65.282,-126.8329,19.44,86,20,10.36,few clouds
57,Rocha,UY,-34.4833,-54.3333,58.17,43,10,11.74,clear sky
58,Novorudnyy,RU,51.5026,58.1873,47.01,67,100,6.69,overcast clouds
59,Cherskiy,RU,68.75,161.3,1.74,98,100,6.29,overcast clouds
60,Kikwit,CD,-5.041,18.8162,84.79,57,68,4.72,broken clouds
61,Nizhniy Kuranakh,RU,58.8353,125.4869,30.78,98,100,2.3,overcast clouds
62,Bekhtery,UA,46.251,32.2927,52.68,46,2,11.21,clear sky
63,Airai,TL,-8.9266,125.4092,61.47,91,61,1.77,broken clouds
64,Labuhan,ID,-6.8844,112.2051,78.69,84,95,7.76,light rain
65,Hobart,AU,-42.8794,147.3294,51.06,79,40,6.91,scattered clouds
66,Taltal,CL,-25.4,-70.4833,61.68,72,20,5.08,few clouds
67,Bluff,NZ,-46.6,168.3333,47.01,88,7,6.04,clear sky
68,Sambava,MG,-14.2667,50.1667,71.51,79,7,11.63,clear sky
69,Rioja,AR,-29.4111,-66.8507,67.86,22,0,5.79,clear sky
