City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Shenjiamen,29.9576,122.298,70.07,76,98,16.71,CN,2022-10-14 04:21:03
1,Sitka,57.0531,-135.33,51.69,71,75,9.22,US,2022-10-14 04:21:04
2,Dhidhdhoo,6.8833,73.1,81.12,76,99,14.25,MV,2022-10-14 04:16:27
3,Benjamin Hill,30.1667,-111.1,77.79,41,98,3.31,MX,2022-10-14 04:21:04
4,Kasongo,-4.45,26.6667,67.14,85,71,0.89,CD,2022-10-14 04:21:05
5,San Giljan,35.9184,14.4898,72.07,78,20,16.11,MT,2022-10-14 04:21:06
6,Tuktoyaktuk,69.4541,-133.0374,30.2,69,100,12.66,CA,2022-10-14 04:21:06
7,Elko,41.0002,-115.5012,61.65,19,0,5.01,US,2022-10-14 04:21:07
8,Bethel,41.3712,-73.414,66.56,82,100,5.75,US,2022-10-14 04:21:08
9,Hermanus,-34.4187,19.2345,52.81,85,93,2.19,ZA,2022-10-14 04:21:08
10,Busselton,-33.65,115.3333,60.49,68,94,7.38,AU,2022-10-14 04:21:09
11,Hobart,-42.8794,147.3294,61.27,59,75,9.22,AU,2022-10-14 04:20:09
12,Sao Felix Do Xingu,-6.6447,-51.995,74.01,77,76,2.17,BR,2022-10-14 04:21:10
13,Huarmey,-10.0681,-78.1522,60.69,84,10,9.66,PE,2022-10-14 04:21:10
14,Jamestown,42.097,-79.2353,46.71,93,0,5.75,US,2022-10-14 04:21:11
15,Surt,31.2089,16.5887,79.75,44,97,19.15,LY,2022-10-14 04:21:11
16,Kirkwall,58.9848,-2.9587,48.96,76,40,21.85,GB,2022-10-14 04:21:11
17,Bay Roberts,47.5999,-53.2648,48.51,96,90,6.06,CA,2022-10-14 04:21:12
18,Albany,42.6001,-73.9662,52.21,94,100,5.53,US,2022-10-14 04:21:13
19,Tasiilaq,65.6145,-37.6368,28.56,68,60,6.44,GL,2022-10-14 04:21:13
20,Bluff,-46.6,168.3333,56.8,71,0,9.55,NZ,2022-10-14 04:14:56
21,Qaanaaq,77.484,-69.3632,23.7,92,100,14.43,GL,2022-10-14 04:21:14
22,Chuy,-33.6971,-53.4616,47.84,60,3,9.42,UY,2022-10-14 04:15:03
23,Barrow,71.2906,-156.7887,26.62,63,100,10.36,US,2022-10-14 04:20:59
24,Saint-Pierre,-21.3393,55.4781,74.88,60,75,17.27,RE,2022-10-14 04:21:14
25,Sao Filipe,14.8961,-24.4956,78.26,81,85,9.78,CV,2022-10-14 04:21:15
26,Cherskiy,68.75,161.3,9.27,89,100,5.7,RU,2022-10-14 04:21:15
27,Mataura,-46.1927,168.8643,65.95,35,0,3.04,NZ,2022-10-14 04:21:16
28,Hami,42.8,93.45,61.75,24,30,3.38,CN,2022-10-14 04:21:16
29,Wahpeton,46.2652,-96.6059,35.62,55,100,9.22,US,2022-10-14 04:21:17
30,Port Elizabeth,-33.918,25.5701,66.09,90,20,16.11,ZA,2022-10-14 04:21:17
31,Ushuaia,-54.8,-68.3,42.46,70,40,4.61,AR,2022-10-14 04:16:43
32,Kiunga,-6.1219,141.2906,93.15,48,84,1.72,PG,2022-10-14 04:21:18
33,Ternate,0.8,127.4,85.03,71,38,10.02,ID,2022-10-14 04:21:18
34,Dikson,73.5069,80.5464,33.51,99,100,21.41,RU,2022-10-14 04:21:18
35,Beloha,-25.1667,45.05,74.86,51,0,10.92,MG,2022-10-14 04:21:19
36,At-Bashi,41.1702,75.8106,50.74,20,85,0.94,KG,2022-10-14 04:21:20
37,Longyearbyen,78.2186,15.6401,24.64,74,20,0.0,SJ,2022-10-14 04:21:20
38,Zyryanka,65.75,150.85,19.65,90,100,3.74,RU,2022-10-14 04:21:20
39,Hamilton,39.1834,-84.5333,50.63,70,40,4.61,US,2022-10-14 04:17:03
40,Araouane,18.9048,-3.5265,87.6,13,28,7.99,ML,2022-10-14 04:21:21
41,Kouroussa,10.65,-9.8833,72.54,85,86,3.29,GN,2022-10-14 04:21:21
42,Shingu,33.7333,135.9833,74.68,63,1,5.93,JP,2022-10-14 04:21:22
43,Salinopolis,-0.6136,-47.3561,80.31,82,33,11.72,BR,2022-10-14 04:21:22
44,Berbera,10.4396,45.0143,83.07,67,1,2.66,SO,2022-10-14 04:21:22
45,Wainwright,52.839,-110.8572,50.32,49,52,8.14,CA,2022-10-14 04:22:23
46,Carrick-On-Suir,52.3492,-7.4131,53.96,89,99,4.52,IE,2022-10-14 04:22:23
47,Mahebourg,-20.4081,57.7,75.25,68,40,14.97,MU,2022-10-14 04:14:52
48,Lebu,-37.6167,-73.65,47.03,77,3,13.94,CL,2022-10-14 04:22:24
49,Kapit,2.0167,112.9333,91.51,49,86,3.51,MY,2022-10-14 04:22:24
50,Nikolskoye,59.7035,30.7861,44.49,86,100,5.91,RU,2022-10-14 04:22:25
51,Saint-Philippe,-21.3585,55.7679,74.79,73,33,11.79,RE,2022-10-14 04:22:25
52,Bukachacha,52.9833,116.9167,42.24,63,100,6.69,RU,2022-10-14 04:22:25
53,Nhulunbuy,-12.2333,136.7667,86.61,66,40,17.27,AU,2022-10-14 04:22:26
54,Bambous Virieux,-20.3428,57.7575,75.22,68,40,14.97,MU,2022-10-14 04:14:53
55,Rikitea,-23.1203,-134.9692,70.75,79,81,13.4,PF,2022-10-14 04:20:00
56,Vostok,46.4856,135.8833,57.22,54,7,4.43,RU,2022-10-14 04:22:26
57,De Aar,-30.6497,24.0123,67.84,33,24,4.38,ZA,2022-10-14 04:22:27
58,San Cristobal,7.7669,-72.225,69.98,96,100,1.41,VE,2022-10-14 04:22:27
59,Haileybury,47.449,-79.6373,43.38,96,32,5.01,CA,2022-10-14 04:22:27
60,Punta Arenas,-53.15,-70.9167,44.71,70,40,28.77,CL,2022-10-14 04:22:28
61,Esperance,-33.8667,121.9,62.26,57,22,9.1,AU,2022-10-14 04:22:28
62,Nichinan,31.6,131.3667,76.68,70,51,13.53,JP,2022-10-14 04:22:29
63,Vaini,-21.2,-175.2,73.56,94,100,9.22,TO,2022-10-14 04:22:29
64,Kapaa,22.0752,-159.319,82.38,91,75,3.44,US,2022-10-14 04:22:30
65,Zhangye,38.9342,100.4517,56.75,22,100,3.65,CN,2022-10-14 04:22:30
66,Milkovo,54.7167,158.6167,42.21,50,100,4.7,RU,2022-10-14 04:22:30
67,East London,-33.0153,27.9116,68.94,88,75,13.8,ZA,2022-10-14 04:22:31
68,Hilo,19.7297,-155.09,82.27,87,100,5.75,US,2022-10-14 04:22:31
69,Yabrud,33.9674,36.6574,52.18,84,1,1.1,SY,2022-10-14 04:22:32
70,Butaritari,3.0707,172.7902,81.77,74,100,11.54,KI,2022-10-14 04:22:32
71,Great Yarmouth,52.6083,1.7305,51.42,86,100,8.05,GB,2022-10-14 04:22:33
72,Nampula,-15.1165,39.2666,69.12,55,0,3.49,MZ,2022-10-14 04:14:53
73,Palmer,42.1584,-72.3287,65.57,86,100,9.22,US,2022-10-14 04:22:33
74,Jaciara,-15.9653,-54.9683,75.09,62,96,3.13,BR,2022-10-14 04:22:33
75,Sisimiut,66.9395,-53.6735,26.08,87,84,7.29,GL,2022-10-14 04:22:34
76,Pisco,-13.7,-76.2167,59.05,82,100,11.5,PE,2022-10-14 04:22:34
77,Komsomolskiy,40.4272,71.7189,65.12,25,1,4.61,UZ,2022-10-14 04:22:35
78,Bengkulu,-3.8004,102.2655,82.2,68,65,4.68,ID,2022-10-14 04:22:35
